City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,san angelo,31.4638,-100.437,296.42,27,0,4.12,US,1696709519
271,shira,54.4911,89.9531,279.21,73,80,1.65,RU,1696709800
272,aktau,43.65,51.2,288.47,54,69,3.65,KZ,1696709800
273,amursk,50.2261,136.8994,277.58,94,9,2.68,RU,1696709801
274,baise city,23.8997,106.6133,292.68,90,71,0.91,CN,1696709661
275,ar ruways,24.1103,52.7306,303.88,75,7,3.55,AE,1696709802
276,creston,41.0586,-94.3614,288.55,35,0,4.12,US,1696709802
277,nyala,12.05,24.8833,303.16,43,74,2.64,SD,1696709803
278,tranqueras,-31.2,-55.75,294.79,57,0,3.65,UY,1696709803
279,nar'yan-mar,67.6713,53.087,273.77,85,99,3.58,RU,1696709804
280,usinsk,65.9939,57.5281,279.86,93,100,7.6,RU,1696709804
281,tazacorte,28.629,-17.9293,299.69,69,0,3.09,ES,1696709805
282,mogocha,53.7333,119.7667,276.34,88,22,1.34,RU,1696709805
283,dunedin,-45.8742,170.5036,283.6,58,95,1.34,NZ,1696709776
284,cabo san lucas,22.8909,-109.9124,304.05,81,100,6.69,MX,1696709806
285,vallenar,-28.5708,-70.7581,294.59,24,0,4.12,CL,1696709807
286,ixtapa,20.7,-105.2,304.72,62,75,4.12,MX,1696709807
287,uturoa,-16.7333,-151.4333,299.51,83,30,7.26,PF,1696709807
288,nagqu,31.5,92.0,276.19,38,100,1.18,CN,1696709808
289,aguililla,18.7333,-102.7333,299.77,72,100,0.75,MX,1696709666
290,tavda,58.0425,65.2726,282.42,95,65,2.68,RU,1696709809
291,thayetmyo,19.3167,95.1833,297.2,98,100,2.09,MM,1696709809
292,biryusinsk,55.9634,97.8235,279.55,86,96,0.68,RU,1696709810
293,lan krabue,16.6,99.8489,296.92,97,100,1.08,TH,1696709811
294,swakopmund,-22.6833,14.5333,287.03,84,27,0.45,NA,1696709811
295,mariestad,58.7097,13.8237,279.54,60,3,8.36,SE,1696709812
296,keflavik,64.0049,-22.5624,279.39,75,75,2.57,IS,1696709812
297,port elizabeth,-33.918,25.5701,288.31,83,100,2.06,ZA,1696709813
298,adamovka,51.5223,59.9396,283.14,90,100,4.92,RU,1696709813
299,namibe,-15.1961,12.1522,293.0,86,91,2.8,AO,1696709640
300,tomatlan,19.9333,-105.25,303.14,80,100,2.72,MX,1696709570
301,squamish,49.7014,-123.1512,299.29,43,11,1.03,CA,1696709815
302,ciudad lazaro cardenas,17.9583,-102.2,304.9,62,46,4.86,MX,1696709815
303,illizi,26.4833,8.4667,299.04,24,0,4.86,DZ,1696709816
304,susuman,62.7833,148.1667,265.92,90,16,1.34,RU,1696709816
305,khorixas,-20.3667,14.9667,295.83,26,11,5.27,NA,1696709816
306,vila franca do campo,37.7167,-25.4333,294.75,99,100,3.53,PT,1696709817
307,la ronge,55.1001,-105.2842,290.27,36,40,6.17,CA,1696709647
308,kill devil hills,36.0307,-75.676,291.47,87,100,5.66,US,1696709728
309,vanimo,-2.6741,141.3028,298.04,90,100,1.54,PG,1696709818
310,kolonia town,6.964,158.206,299.15,94,100,0.0,FM,1696709819
311,sudak,44.85,34.9667,287.92,63,98,4.24,UA,1696709819
312,montepuez,-13.1256,38.9997,295.72,73,2,4.37,MZ,1696709819
313,persembe,41.0656,37.7714,287.83,86,0,2.45,TR,1696709820
314,iquitos,-3.7481,-73.2472,307.17,59,40,4.12,PE,1696709671
315,saposoa,-6.934,-76.7716,308.16,39,92,1.64,PE,1696709821
316,fada,9.5667,8.3,294.39,78,64,0.62,NG,1696709821
317,hamilton,39.1834,-84.5333,290.48,44,75,6.69,US,1696709822
318,acarau,-2.8856,-40.12,301.2,73,74,8.47,BR,1696709823
319,sikasso,10.9167,-7.0,299.98,68,99,0.6,ML,1696709825
320,dosso,13.049,3.1937,304.52,40,9,4.13,NE,1696709825
321,uaua,-9.8414,-39.4817,305.81,31,90,8.73,BR,1696709826
322,rongelap,11.1635,166.8941,301.83,78,19,9.24,MH,1696709826
323,beau vallon,-20.4189,57.6953,296.28,68,40,3.09,MU,1696709827
324,lensk,60.7253,114.9278,277.99,86,47,4.02,RU,1696709663
325,badger,64.8,-147.5333,275.08,81,100,4.12,US,1696709828
326,fisterra,42.9049,-9.2629,293.57,62,0,3.4,ES,1696709829
327,felipe carrillo puerto,19.5833,-88.05,305.15,60,87,2.57,MX,1696709829
328,along,28.1667,94.7667,294.12,99,80,0.43,IN,1696709829
329,katsuura,35.1333,140.3,291.23,62,72,6.07,JP,1696709830
330,quinhamel,11.8833,-15.85,301.29,84,86,3.36,GW,1696709830
331,lata,40.1629,-8.3327,296.99,59,38,0.54,PT,1696709831
332,coahuayana de hidalgo,18.7,-103.6583,305.75,61,76,1.78,MX,1696709831
333,benguela,-12.5763,13.4055,295.72,89,68,1.59,AO,1696709832
334,newman,37.3138,-121.0208,307.75,16,0,0.95,US,1696709833
335,filipstad,59.7124,14.1683,277.3,58,0,5.84,SE,1696709833
336,malanje,-9.5402,16.341,292.98,89,100,2.97,AO,1696709833
337,lichinga,-13.3128,35.2406,295.2,56,0,2.06,MZ,1696709834
338,opuwo,-18.0607,13.84,296.24,32,21,3.63,NA,1696709834
339,mangai,-4.05,19.5333,295.62,93,86,0.87,CD,1696709835
340,sittwe,20.15,92.9,299.98,80,78,0.82,MM,1696709836
341,baidoa,3.1138,43.6498,297.04,81,85,5.41,SO,1696709836
342,tual,-5.6667,132.75,299.67,84,30,7.68,ID,1696709673
343,mumbwa,-14.9783,27.0619,300.67,26,46,3.9,ZM,1696709837
344,cova figueira,14.8905,-24.2934,298.33,76,100,2.43,CV,1696709838
345,birao,10.2849,22.7882,295.11,95,100,2.66,CF,1696709838
346,dembi dolo,8.5333,34.8,288.88,77,33,2.02,ET,1696709839
347,birobidzhan,48.8,132.95,279.72,63,99,1.98,RU,1696709839
348,khorugh,37.4897,71.553,284.93,57,3,0.93,TJ,1696709840
349,ghat,24.9647,10.1728,298.83,24,2,5.12,LY,1696709841
350,tanout,14.9709,8.8879,304.02,29,12,4.98,NE,1696709841
